Sl. No.,States/UT,2021-22 - Number of Account,2021-22 - Amount Disbursed,2022-23 - Number of Account,2022-23 - Amount Disbursed,2023-24 - Number of Account,2023-24 - Amount Disbursed
1,Andaman and Nicobar Islands,113,4.66,170,6.85,165.3,3.86
2,Andhra Pradesh,30429,1439.88,67227,2779.33,88696.9,2297.88
3,Arunachal Pradesh,91,1.77,125,3.73,199.6,6.69
4,Assam,4034,88.43,4939,143,4945.7,112.42
5,Bihar,8537,243.26,10306,355.26,10184.3,264.43
6,Chandigarh,972,58.03,1154,72.93,954.8,48.38
7,Chhattisgarh,4522,132.33,5576,193.34,5633,174.93
8,Dadra and Nagar Haveli and Daman and Diu,153,7.2,190,8.1,322,12.98
9,Delhi,10900,520.97,12780,660.94,12169,490.69
10,Goa,1488,75.36,1792,97.73,1593.9,63.96
11,Gujarat,15180,857.15,17426,1158.87,16534.1,827.21
12,Haryana,8594,413.87,10791,590.26,9741.7,409.58
13,Himachal Pradesh,3217,84.09,4250,119.51,4114.3,93.72
14,Jammu and Kashmir,930,45.9,1253,67.87,1320.6,55.99
15,Jharkhand,10558,322.3,12743,421.41,12215.2,300.22
16,Karnataka,55361,1577.45,71222,2403.78,65135.9,1683.64
17,Kerala,59917,1999.17,80489,3344.55,67566.2,2179.28
18,Ladakh,17,1.57,16,1.17,16,0.57
19,Lakshadweep,1,0.01,3,0.21,4,0.14
20,Madhya Pradesh,17233,527.13,21128,730.14,18631.9,494.95
21,Maharashtra,50835,2040.26,66021,3170.05,58876,2563.43
22,Manipur,215,5.67,329,11.53,267.6,7.15
23,Meghalaya,808,36.03,928,52.05,1037.5,50.64
24,Mizoram,34,0.98,58,2.08,57,1.9
25,Nagaland,115,3.4,156,5.17,146.2,3.02
26,Odisha,9426,285,12916,376.13,12921.5,283.74
27,Punjab,7199,436.67,8886,511.04,7469.6,317.37
28,Puducherry,1620,58.01,2001,89.32,1517.8,59.82
29,Rajasthan,12725,465.05,14792,609.95,12031.7,369.2
30,Sikkim,125,3.41,185,7.65,139,3.83
31,Tamil Nadu,56183,1419.25,80119,2225.79,78655.4,1641.53
32,Telangana,19658,1418.97,33835,2326.41,40280.8,1624.12
33,Tripura,696,16.47,816,22.72,677.4,15.81
34,Uttar Pradesh,27646,823.45,33688,1154.25,31037.3,820.2
35,Uttarakhand,5938,192.8,7575,260.79,7129.6,182
36,West Bengal,21963,563.85,39778,915.14,35687.5,617.48
Total,Total,447433,16169.82,625663,24899.05,608076.3,18082.76
