State/UT,STEM_Enrollment_Total,STEM_Enrollment_Female,STEM_Enrollment_Male
Andaman & Nicobar Islands,2067,1057,1010
Andhra Pradesh,977006,422331,554675
Arunachal Pradesh,4118,1352,2766
Assam,93995,30966,63029
Bihar,363223,120868,242355
Chandigarh,22779,11710,11069
Chhatisgarh,236340,103740,132600
Dadra & Nagar Haveli,2325,962,1363
Daman & Diu,1753,360,1393
Delhi,238426,57254,181172
Goa,14843,6217,8626
Gujarat,600946,174344,426602
Haryana,293802,103215,190587
Himachal Pradesh,99660,45708,53952
Jammu and Kashmir,78796,36554,42242
Jharkhand,112519,35312,77207
Karnataka,779164,326883,452281
Kerala,426817,231874,194943
Lakshadweep,214,148,66
Madhya Pradesh,881082,336994,544088
Maharashtra,1439852,555097,884755
Manipur,29475,15885,13590
Meghalaya,9904,4113,5791
Mizoram,5659,2623,3036
Nagaland,5224,2346,2878
Odisha,355370,115339,240031
Puducherry,35609,15801,19808
Punjab,426981,176782,250199
Rajasthan,517902,153091,364811
Sikkim,7918,2660,5258
Tamil Nadu,2033173,829313,1203860
Telangana,715664,328138,387526
Tripura,15691,5916,9775
Uttar Pradesh,1662093,525885,1136208
Uttrakhand,164535,58412,106123
West Bengal,399650,121028,278622
